name,mass,semi_major_axis,temp_eq,star_luminosity,star_radius,star_teff,star_mass,radius
Kepler-104 Ab,9.952478724105648,0.09286,1088.6315171360172,2.0208986263485267,1.35,5921.0,1.08,2.379666609178282
Kepler-104 Ac,7.144305837638397,0.15088,854.0423471825892,2.0208986263485267,1.35,5921.0,1.08,2.359490443862592
Kepler-104 Ad,1760.7693725344984,0.2542,657.9720870237261,2.0208986263485267,1.35,5921.0,1.08,2.6350071902290653
Kepler-105 b,5.085254505514797,0.066,1064.5160184330289,0.8238664792495728,0.89,5827.0,0.96,4.808652733572694
Kepler-107 b,3.5088256088052097,0.04544,1594.5966805292571,2.227632904412947,1.45,5854.0,1.24,1.5356303601385994
Kepler-107 d,3.8012277428723107,0.08377,1174.4262758904538,2.227632904412947,1.45,5854.0,1.24,0.8630915162822784
Kepler-107 e,8.6004366824519,0.12639,956.1227680303275,2.227632904412947,1.45,5854.0,1.24,2.9031260093131186
Kepler-117 b,29.87587021989943,0.1445,990.1922712808016,3.3454070095926696,1.61,6150.0,1.13,8.059257145544912
Kepler-11 b,1.9069704395680487,0.091,932.2279894678758,1.0425447951063027,1.06,5663.0,0.96,1.8046458976811277
Kepler-11 c,2.860455659352073,0.107,859.5628032136997,1.0425447951063027,1.06,5663.0,0.96,2.8694990671203024
Kepler-11 f,1.9069704395680487,0.25,562.3050229591797,1.0425447951063027,1.06,5663.0,0.96,2.488393722268387
Kepler-11 g,25.108444120979307,0.466,413.0239520727758,1.0425447951063027,1.06,5663.0,0.96,3.329067277088788
Kepler-1229 Ab,2.5394489686914516,0.3006,249.67334345985645,0.05859090644713067,0.5658,3774.0,0.559,1.3394731973471723
Kepler-138 b,0.06674396538488171,0.0746,449.8156170080096,0.0380171300985592,0.44,3841.0,0.52,0.526822094354118
Kepler-1513 Ab,48.309917802390565,0.5416,355.0131053767956,0.7402011113089051,0.95,5491.0,0.943,8.594037616217996
Kepler-1647 (AB)b,483.09917802390567,2.7205,243.00242604833332,4.299017470710215,1.79,6210.0,2.1885,11.881519574795002
Kepler-1654 b,158.9142032973374,2.026,207.78280498050748,1.2327698084668006,1.18,5597.0,1.01,9.18015521863878
Kepler-1655 b,4.999440835734235,0.103,937.4911068511279,1.367434812547679,1.03,6148.0,1.03,2.2081692039949203
Kepler-1656 b,47.80139235183909,0.1974,759.0212057279962,1.1776161459658938,1.1,5731.0,1.03,5.021623367460529
Kepler-1659 b,9.00090047476119,0.112293,761.0692303156052,0.7058905350840273,0.97,5370.0,1.02,1.905526724259576
Kepler-1659 c,4.598977043424944,0.14728,664.5569498615545,0.7058905350840273,0.97,5370.0,1.02,1.905526724259576
Kepler-167 Ae,1271.3136263786992,1.883,148.6051233541857,0.2879804485827573,0.749,4884.0,0.777,10.15982013452282
Kepler-1708 b,1462.0106703355038,1.64,250.4218405455791,1.6176319196494966,1.117,6157.0,1.088,9.960300277512111
Kepler-1710 Ab,3.4951589873216387,0.1157,753.5263127603297,0.7201516548956549,0.91,5572.0,0.983,2.5870327527006474
Kepler-1876 b,2.4154958901195283,0.0758,1300.6172406439073,2.7433314222724996,1.48,6104.0,1.19,0.8530034336244336
Kepler-18 b,6.992224945082845,0.0447,1284.3658074226855,0.9072637171479963,1.11,5345.0,0.97,1.9951985701070851
Kepler-1971 b,0.340076395056302,0.008,1198.5154292323605,0.022035253313840743,0.4,3515.0,0.41,0.5100086232577099
Kepler-1972 Ab,2.0213886659421316,0.0794,1171.9499118131612,1.9799936400453217,1.384,5818.0,1.12,0.8020025712986626
Kepler-1972 Ac,2.1103806197886406,0.1025,1031.1304126277748,1.9799936400453217,1.384,5818.0,1.12,0.8680234678038914
Kepler-197 Ac,5.403082912109472,0.0883,1065.0969974956051,1.668965642351292,1.2094,5963.52,1.093,1.3079759614932347
Kepler-2002 b,7310.05335167752,0.1357,860.8374421130512,1.5742267434110861,1.2,5900.0,0.91,2.80224518273467
Kepler-20 Ab,9.52309254679624,0.045862,1184.5841570572018,0.690776724056303,0.9164,5495.0,0.929,2.0069679998745706
Kepler-20 Ad,12.946104485820888,0.349,429.36913420571074,0.690776724056303,0.9164,5495.0,0.929,2.4919805961022874
Kepler-20 Af,14.302278296760365,0.13936,679.4765390385583,0.690776724056303,0.9164,5495.0,0.929,0.9420027406280868
Kepler-21 Ab,6.680753106620064,0.0434281,2012.148130580569,5.157724448301476,1.902,6305.0,1.408,1.6499619635941738
Kepler-223 c,5.10114592584453,0.088,1246.1939679193367,3.0812707584988677,1.72,5829.0,1.12,3.4411570843981747
Kepler-223 e,4.799208939579589,0.14,985.5279434899659,3.0812707584988677,1.72,5829.0,1.12,4.595682099684859
Kepler-22 b,9.0898924286077,0.812,279.1533713705875,0.6681086945430306,0.869,5596.0,0.857,2.0960793966855333
Kepler-25 Ab,10.810297593504673,0.06944,1381.4990576346459,2.930782071942516,1.477,6212.0,1.19,2.7040545115316474
Kepler-289 b,7.31005335167752,0.21,630.3499911291585,1.1614594100022946,1.0,5990.0,1.08,2.1521243003402266
Kepler-297 c,41.953349670497076,0.3292,458.51292256533117,0.7992626707342294,0.89,5783.0,1.04,6.389119016635047
Kepler-29 b,4.999440835734235,0.09,738.5744352326559,0.4021848056821461,0.73,5378.0,0.76,2.5444386259230805
